0,-67.5,22.5,-56.25
22.5,-67.5,45,-56.25
45,-67.5,90,-45
45,-56.25,67.5,-45
67.5,-56.25,90,-45
45,-67.5,67.5,-56.25
67.5,-67.5,90,-56.25
0,-90,45,-67.5
0,-78.75,22.5,-67.5
22.5,-78.75,45,-67.5
0,-90,22.5,-78.75
22.5,-90,45,-78.75
45,-90,90,-67.5
45,-78.75,67.5,-67.5
67.5,-78.75,90,-67.5
45,-90,67.5,-78.75
67.5,-90,90,-78.75
90,-90,180,-45
90,-67.5,135,-45
90,-56.25,112.5,-45
112.5,-56.25,135,-45
90,-67.5,112.5,-56.25
112.5,-67.5,135,-56.25
135,-67.5,180,-45
135,-56.25,157.5,-45
157.5,-56.25,180,-45
135,-67.5,157.5,-56.25
157.5,-67.5,180,-56.25
90,-90,135,-67.5
90,-78.75,112.5,-67.5
112.5,-78.75,135,-67.5
90,-90,112.5,-78.75
112.5,-90,135,-78.75
135,-90,180,-67.5
135,-78.75,157.5,-67.5
157.5,-78.75,180,-67.5
135,-90,157.5,-78.75
157.5,-90,180,-78.75
